date,actual,pred,ok
2024-10-28,495.6646423339844,491.2,True
2024-10-29,491.91864013671875,496.5,True
2024-10-30,479.50128173828125,493.5,True
2024-10-31,483.049072265625,482.3,True
2024-11-01,481.641845703125,485.12,True
2024-11-04,487.78607177734375,482.5,True
2024-11-05,501.0359191894531,485.3,True
2024-11-06,508.9243469238281,505.0,True
2024-11-07,509.51898193359375,510.15,True
2024-11-08,509.2217712402344,510.35,True
2024-11-11,508.3000183105469,508.0,True
2024-11-12,507.64599609375,508.77,True
2024-11-13,504.1180114746094,507.12,True
2024-11-14,492.10693359375,503.45,True
2024-11-15,495.5259094238281,490.0,True
2024-11-18,498.9349365234375,496.75,True
2024-11-19,498.6475830078125,500.26,True
2024-11-20,500.44134521484375,500.12,True
2024-11-21,501.24407958984375,501.22,True
2024-11-22,502.036865234375,502.1,True
2024-11-25,504.732421875,502.5,True
2024-11-26,500.7584228515625,505.5,True
2024-11-27,505.15850830078125,501.5,True
2024-11-29,510.6586608886719,506.12,True
2024-12-02,512.2244873046875,512.34,True
2024-12-03,518.5570068359375,514.5,True
2024-12-04,517.1199951171875,523.34,True
2024-12-05,521.7481079101562,516.75,True
2024-12-06,517.6849365234375,523.45,True
2024-12-09,515.9208984375,518.25,True
2024-12-10,525.1571655273438,514.25,True
2024-12-11,521.7678833007812,523.5,True
2024-12-12,525.7616577148438,520.5,True
2024-12-13,533.3329467773438,523.45,True
2024-12-16,530.9843139648438,535.67,True
2024-12-17,511.8280334472656,532.45,True
2024-12-18,509.5487060546875,509.3,True
2024-12-19,513.9984130859375,507.3,True
2024-12-20,519.006103515625,515.5,True
2024-12-23,526.043701171875,520.0,True
2024-12-24,525.6863403320312,530.25,True
2024-12-26,518.6983642578125,525.5,True
2024-12-27,511.7997131347656,519.5,True
2024-12-30,507.4521179199219,511.0,True
2024-12-31,506.4595031738281,503.12,True
2025-01-02,514.747802734375,505.0,True
2025-01-03,520.6637573242188,515.3,True
2025-01-06,511.3729553222656,521.3,True
2025-01-07,511.4622497558594,514.22,True
2025-01-08,503.4420166015625,511.6,True
2025-01-10,501.823974609375,506.12,True
2025-01-13,501.3475341796875,502.5,True
2025-01-14,512.8817749023438,500.75,True
2025-01-15,509.2884521484375,510.5,True
2025-01-16,517.8843994140625,508.12,True
2025-01-17,520.9217529296875,515.0,True
2025-01-21,527.582275390625,522.5,True
2025-01-22,528.7039184570312,525.45,True
2025-01-23,525.7161254882812,529.5,True
2025-01-24,510.4101257324219,526.34,True
2025-01-27,517.9539184570312,511.2,True
2025-01-28,516.9812622070312,518.5,True
2025-01-29,519.1847534179688,517.5,True
2025-01-30,518.4302978515625,520.5,True
2025-01-31,514.2813110351562,517.5,True
2025-02-03,520.5941772460938,516.1,True
2025-02-04,522.9567260742188,521.25,True
2025-02-05,525.6863403320312,523.45,True
2025-02-06,519.0557250976562,527.45,True
2025-02-07,525.3389282226562,520.22,True
2025-02-10,524.0882568359375,524.12,True
2025-02-11,524.3959350585938,523.45,True
2025-02-12,531.9397583007812,525.12,True
2025-02-13,534.1732177734375,532.17,True
2025-02-14,535.3841552734375,532.5,True
2025-02-18,535.5330200195312,535.5,True
2025-02-19,533.2599487304688,536.2,True
2025-02-20,522.1923217773438,532.5,True
2025-02-21,516.0283203125,520.0,True
2025-02-24,509.52667236328125,511.45,True
2025-02-25,510.75750732421875,505.12,True
2025-02-26,496.5730895996094,511.5,True
2025-02-27,504.4147033691406,490.0,True
2025-02-28,493.3768615722656,502.12,True
2025-03-03,491.8879699707031,490.12,True
2025-03-04,498.3002624511719,490.0,True
2025-03-05,484.59228515625,498.3,True
2025-03-06,488.15576171875,480.12,True
2025-03-07,469.2366027832031,486.5,True
2025-03-10,468.1149597167969,466.0,True
2025-03-11,473.3956604003906,465.0,True
2025-03-12,464.87908935546875,470.12,True
2025-03-13,476.1153869628906,460.0,True
2025-03-14,479.202392578125,477.5,True
2025-03-17,471.03326416015625,480.5,True
2025-03-18,477.3363037109375,469.5,True
2025-03-19,475.7183837890625,478.75,True
2025-03-20,477.2866516113281,474.5,True
2025-03-21,487.76043701171875,478.12,True
2025-03-24,490.5438537597656,488.54,True
2025-03-25,481.51751708984375,490.12,True
2025-03-26,478.7738037109375,485.12,True
2025-03-27,466.16876220703125,478.0,True
2025-03-28,466.14892578125,463.5,True
2025-03-31,469.90655517578125,463.92,True
2025-04-01,473.3361511230469,472.5,True
2025-04-02,447.99676513671875,474.12,True
2025-04-03,420.17218017578125,445.0,True
2025-04-04,421.1861877441406,415.0,True
2025-04-07,413.6012878417969,419.0,True
2025-04-08,463.24615478515625,410.0,True
2025-04-09,443.54327392578125,460.0,True
2025-04-10,451.7146911621094,434.12,True
2025-04-11,454.7765197753906,449.25,True
2025-04-14,455.2834777832031,453.12,True
2025-04-15,441.5550842285156,456.5,True
2025-04-16,441.4755554199219,440.12,True
2025-04-17,430.55047607421875,442.12,True
2025-04-21,441.8533630371094,425.0,True
2025-04-22,451.8737487792969,444.12,True
2025-04-23,464.588134765625,454.12,True
2025-04-24,469.767333984375,470.12,True
2025-04-25,469.6182556152344,475.0,True
2025-04-28,472.7198181152344,471.25,True
2025-04-29,472.6601867675781,475.0,True
2025-04-30,478.8334655761719,473.12,True
2025-05-01,485.9411926269531,480.0,True
2025-05-02,483.058349609375,487.5,True
2025-05-05,478.5650939941406,480.12,True
2025-05-06,480.44390869140625,475.0,True
2025-05-07,485.4044494628906,482.0,True
2025-05-08,485.0863037109375,486.5,True
2025-05-09,504.8488464355469,485.5,True
2025-05-12,512.5430908203125,510.25,True
2025-05-13,515.6148071289062,520.0,True
2025-05-14,516.1814575195312,517.02,True
2025-05-15,518.4281005859375,517.25,True
2025-05-16,518.9251708984375,520.12,True
2025-05-19,517.1954345703125,519.12,True
2025-05-20,510.0081481933594,516.5,True
2025-05-21,510.96246337890625,508.0,True
2025-05-22,506.2306213378906,511.5,True
2025-05-23,518.1398315429688,504.0,True
2025-05-27,515.8433837890625,520.0,True
2025-05-28,516.8574829101562,515.5,True
2025-05-29,516.0422973632812,517.32,True
2025-05-30,520.1180419921875,516.5,True
2025-06-02,524.183837890625,521.5,True
2025-06-03,525.6452026367188,526.12,True
2025-06-04,521.6887817382812,526.5,True
2025-06-05,526.7883911132812,519.3,True
2025-06-06,527.5637817382812,527.5,True
2025-06-09,531.0531005859375,528.45,True
2025-06-10,529.263671875,533.2,True
2025-06-11,530.5062255859375,531.75,True
2025-06-12,523.845947265625,531.0,True
2025-06-13,531.132568359375,526.3,True
2025-06-16,525.953369140625,532.5,True
2025-06-17,525.8638916015625,526.5,True
2025-06-18,523.7166748046875,526.5,True
2025-06-20,529.1017456054688,522.3,True
2025-06-23,537.1928100585938,528.0,True
2025-06-24,538.5661010742188,540.0,True
2025-06-25,543.6018676757812,540.12,True
2025-06-26,545.4629516601562,545.0,True
2025-06-27,548.9959106445312,546.5,True
2025-06-30,544.3682250976562,552.3,True
2025-07-01,548.159912109375,546.12,True
2025-07-02,553.553955078125,547.12,True
2025-07-03,549.3840942382812,552.34,True
2025-07-07,549.6925659179688,550.25,True
2025-07-08,553.5838623046875,550.12,True
2025-07-09,552.7876586914062,550.25,True
2025-07-10,551.543701171875,553.0,True
2025-07-11,553.5440673828125,550.5,True
2025-07-14,554.0515747070312,553.0,True
2025-07-15,554.6187744140625,554.5,True
2025-07-16,559.1072387695312,554.75,True
