date,actual,pred,ok
2024-10-30,45.9978141784668,46.45,True
2024-11-01,46.589385986328125,46.25,True
2024-11-04,46.75840377807617,46.75,True
2024-11-05,47.13266372680664,46.85,True
2024-11-06,47.67594528198242,47.05,True
2024-11-07,48.05020523071289,47.85,True
2024-11-08,48.07435607910156,48.35,True
2024-11-11,46.842918395996094,48.1,True
2024-11-12,46.54109191894531,46.9,True
2024-11-13,46.1185417175293,46.75,True
2024-11-14,46.44451141357422,46.5,True
2024-11-15,45.79256820678711,46.3,True
2024-11-18,46.42036437988281,45.5,True
2024-11-19,46.227195739746094,46.3,True
2024-11-20,45.72013473510742,46.3,True
2024-11-21,46.613529205322266,45.95,True
2024-11-22,46.44451141357422,46.45,True
2024-11-25,45.84086608886719,46.5,True
2024-11-26,45.176856994628906,46.12,True
2024-11-27,45.10441589355469,45.5,True
2024-11-28,45.21307373046875,45.05,True
2024-11-29,46.28756332397461,45.3,True
2024-12-02,46.91535568237305,46.15,True
2024-12-03,47.193031311035156,46.5,True
2024-12-04,47.446563720703125,47.5,True
2024-12-05,47.26546859741211,47.6,True
2024-12-06,47.32583236694336,47.5,True
2024-12-09,46.98779296875,47.4,True
2024-12-10,46.577308654785156,46.85,True
2024-12-11,47.1205940246582,46.85,True
2024-12-12,47.15681457519531,47.05,True
2024-12-13,47.349979400634766,47.25,True
2024-12-16,47.5914421081543,47.5,True
2024-12-17,47.5914421081543,47.75,True
2024-12-18,46.93949890136719,47.75,True
2024-12-19,46.50487518310547,47.1,True
2024-12-20,47.62765884399414,46.8,True
2024-12-23,47.760459899902344,47.1,True
2024-12-24,47.905330657958984,47.85,True
2024-12-25,47.869110107421875,47.1,True
2024-12-26,48.02606201171875,47.95,True
2024-12-27,47.760459899902344,48.15,True
2024-12-30,47.26546859741211,47.85,True
2024-12-31,46.85498809814453,47.36,True
2025-01-02,47.32583236694336,46.9,True
2025-01-03,48.81079864501953,47.56,True
2025-01-06,49.35408401489258,48.05,True
2025-01-07,48.617637634277344,49.5,True
2025-01-08,48.06228256225586,48.75,True
2025-01-09,48.05020523071289,48.2,True
2025-01-10,46.93949890136719,48.2,True
2025-01-13,47.229251861572266,47.23,True
2025-01-14,46.867061614990234,47.5,True
